Session ID,User ID,Traffic Source,Campaign,Device,Session Start,Lead Form Submitted,Trial Started,Subscription Purchased
SESS-100001,USR-204736,Paid Social,Winter Sale,Desktop,2026-05-07 04:09:12,,,
SESS-100002,USR-200335,Email,Newsletter Vol 12,Mobile,2026-01-09 05:44:27,,,
SESS-100003,USR-207481,Email,Newsletter Vol 12,Tablet,2026-02-22 22:48:28,,,
SESS-100004,USR-201922,Organic Search,None,Mobile,2026-04-30 03:59:47,,,
SESS-100005,USR-201864,Email,Newsletter Vol 12,MOBILE,04/06/2026 02:54:57,04/06/2026 03:02:57,,
SESS-100006,USR-202755,Organic Search,None,Tablet,2026-06-26 05:44:05,2026-06-26 06:08:05,2026-06-28 09:08:05,2026-07-12 05:08:05
SESS-100007,USR-207055,Paid Search,Product Launch,Desktop,2026-04-30 20:34:01,,,
SESS-100008,USR-207676,Paid Search,Retargeting Ads,Tablet,2026-03-02 10:44:08,,,
SESS-100009,USR-204008,Direct,None,Tablet,2026-04-10 16:59:14,,,
SESS-100010,USR-206478,Email,Newsletter Vol 12,Tablet,30/04/2026 16:24:52,,,
SESS-100011,USR-201936,organic search,None,Desktop,2026-01-19 09:19:26,2026-01-19 09:53:26,,
SESS-100012,USR-201161,Direct,None,Mobile,2026-06-14 02:59:28,,,
SESS-100013,USR-202105,Paid Search,Product Launch,Tablet,2026-03-09 15:30:19,2026-03-09 15:46:19,2026-03-12 06:46:19,2026-03-19 12:46:19
SESS-100014,USR-200697,Email,Newsletter Vol 12,MOBILE,2026-01-13 15:22:46,,,
SESS-100015,USR-202025,Organic Search,None,Tablet,2026-02-27 11:20:27,,,
SESS-100016,USR-200755,Referral,None,Tablet,2026-03-16 11:54:15,,,
SESS-100017,USR-202465,Organic Search,None,Mobile,2026-01-07 21:09:06,2026-01-07 21:39:06,2026-01-10 03:39:06,
SESS-100018,USR-200526,Referral,None,Mobile,2026-05-24 23:25:52,,,
SESS-100019,USR-205251,Organic Search,None,Desktop,2026-02-20 07:41:47,2026-02-20 08:25:47,,
SESS-100020,USR-203670,Email,Newsletter Vol 12,Tablet,2026-06-11 20:13:33,,,
SESS-100021,USR-201652,Organic Search,None,Mobile,2026-04-16 19:24:48,,,
SESS-100022,USR-206778,Direct,None,TABLET,2026-01-23 15:37:49,,,
SESS-100023,USR-202194,Referral,None,Desktop,2026-03-05 13:07:07,2026-03-05 13:49:07,2026-03-07 04:49:07,
SESS-100024,USR-202568,Paid Search,Spring Promo,Mobile,2026-06-23 12:55:16,,,
SESS-100025,USR-204748,Paid Search,Product Launch,Desktop,2026-06-25 20:41:43,2026-06-25 21:03:43,2026-06-27 07:03:43,2026-07-11 18:03:43
SESS-100026,USR-200827,Email,Newsletter Vol 12,Desktop,2026-03-05 17:13:35,,,
SESS-100027,USR-207552,Referral,None,Desktop,2026-01-10 16:51:01,,,
SESS-100028,USR-203493,Referral,None,Tablet,2026-02-10 10:25:59,,,
SESS-100029,USR-204638,Paid Search,Brand Awareness,Mobile,2026-04-18 12:20:00,,,
SESS-100030,USR-201878,paid social,Brand Awareness,Mobile,2026-02-14 03:28:17,,,
SESS-100031,USR-205540,Paid Social,Spring Promo,Mobile,2026-06-16 09:59:21,,,
SESS-100032,USR-203560,Referral,None,TABLET,2026-01-15 18:30:23,,,
SESS-100033,USR-206434,Paid Search,Spring Promo,Mobile,2026-05-27 03:23:28,,,
SESS-100034,USR-200067,Referral,None,Mobile,2026-01-15 02:00:31,,,
SESS-100035,USR-204087,Paid Search,Retargeting Ads,TABLET,2026-03-23 10:51:35,2026-03-23 11:26:35,,
SESS-100036,USR-207385,Referral,None,Desktop,2026-06-20 00:45:02,,,
SESS-100037,USR-207590,Email,Newsletter Vol 12,Tablet,2026-03-19 01:17:45,,,
SESS-100038,USR-201883,Direct,None,Desktop,2026-06-16 02:21:22,,,
SESS-100039,USR-201218,Email,Newsletter Vol 12,Mobile,2026-05-08 15:11:30,,,
SESS-100040,USR-200705,Paid Social,Brand Awareness,Desktop,2026-06-20 11:25:11,,,
SESS-100041,USR-206183,Paid Search,Spring Promo,Desktop,10/02/2026 02:47:36,10/02/2026 03:01:36,11/02/2026 00:01:36,
SESS-100042,USR-203396,Referral,None,Desktop,2026-06-09 05:21:31,,,
SESS-100043,USR-202131,Direct,None,Mobile,2026-06-13 13:23:47,,,
SESS-100044,USR-203462,Direct,None,Tablet,2026-06-01 09:05:40,,,
SESS-100045,USR-207046,Organic Search,None,Tablet,2026-06-02 06:49:57,,,
SESS-100046,USR-203006,Paid Search,Spring Promo,Tablet,2026-02-22 07:48:11,,,
SESS-100047,USR-200316,Organic Search,None,desktop,2026-06-08 04:56:23,,,
SESS-100048,USR-200357,Paid Search,Spring Promo,Tablet,2026-05-16 20:31:43,,,
SESS-100049,USR-201452,Referral,None,Tablet,2026-04-25 14:36:51,,,
SESS-100050,USR-205825,Paid Social,Retargeting Ads,Desktop,2026-06-23 17:56:42,,,
SESS-100051,USR-205385,Referral,None,Desktop,2026-03-21 15:14:52,,,
SESS-100052,USR-206496,Paid Social,Product Launch,MOBILE,2026-02-05 01:07:01,,,
SESS-100053,USR-205715,Email,Newsletter Vol 12,Tablet,2026-01-28 01:35:49,,,
SESS-100054,USR-202468,Email,Newsletter Vol 12,Tablet,2026-06-19 01:38:34,,,
SESS-100055,USR-205763,Direct,None,Tablet,2026-04-09 07:24:24,,,
SESS-100056,USR-206945,Referral,None,Desktop,2026-03-13 05:55:56,,,
SESS-100057,USR-202961,Organic Search,None,Desktop,2026-03-08 14:44:24,,,
SESS-100058,USR-206741,Paid Social,Brand Awareness,Tablet,2026-02-07 16:24:10,,,
SESS-100059,USR-204169,email,Newsletter Vol 12,Tablet,2026-04-07 19:56:32,,,
SESS-100060,USR-207805,Referral,None,Tablet,2026-06-05 07:28:08,2026-06-05 08:13:08,,
SESS-100061,USR-203784,Organic Search,None,DESKTOP,2026-01-02 11:12:00,,,
SESS-100062,USR-206905,Organic_Search,None,Mobile,2026-03-15 11:10:53,,,
SESS-100063,USR-202107,Referral,None,Mobile,2026-01-03 01:42:53,,,
SESS-100064,USR-200973,Email,Newsletter Vol 12,Tablet,2026-04-05 16:53:28,,,
SESS-100065,USR-203996,Paid Search,Retargeting Ads,mobile,2026-02-10 19:27:16,2026-02-10 19:49:16,2026-02-13 11:49:16,
SESS-100066,USR-204591,Email,Newsletter Vol 12,TABLET,2026-02-25 20:40:03,2026-02-25 21:20:03,2026-02-26 19:20:03,
SESS-100067,USR-206358,Paid Search,Brand Awareness,Tablet,30/04/2026 15:49:18,,,
SESS-100068,USR-204138,Email,Newsletter Vol 12,Mobile,2026-04-11 16:42:01,,,
SESS-100069,USR-200737,Paid Search,Retargeting Ads,Mobile,2026-01-15 08:21:59,,,
SESS-100070,USR-201451,PAID SEARCH,Spring Promo,Mobile,18/05/2026 23:17:39,,,
SESS-100071,USR-202125,Paid Search,Spring Promo,Tablet,2026-05-14 06:28:09,,,
SESS-100072,USR-201272,Organic Search,None,Mobile,2026-03-16 10:13:29,,,
SESS-100073,USR-206264,Email,Newsletter Vol 12,Tablet,2026-05-17 00:18:59,2026-05-17 00:33:59,,
SESS-100074,USR-205538,Referral,None,Mobile,2026-04-08 23:47:44,,,
SESS-100075,USR-202734,referral,None,Mobile,2026-06-12 13:44:23,,,
SESS-100076,USR-203139,Email,Newsletter Vol 12,Desktop,2026-02-01 00:03:44,,,
SESS-100077,USR-203540,Email,Newsletter Vol 12,Mobile,2026-02-15 06:51:38,,,
SESS-100078,USR-204118,Email,Newsletter Vol 12,Tablet,2026-06-24 14:51:06,2026-06-24 14:58:06,,
SESS-100079,USR-207508,Referral,None,Desktop,2026-04-11 06:52:05,,,
SESS-100080,USR-205625,Organic Search,None,TABLET,10/05/2026 09:42:58,,,
SESS-100081,USR-204022,Referral,None,Tablet,2026-03-13 15:43:10,,,
SESS-100082,USR-204719,Referral,None,Mobile,05/02/2026 13:41:44,,,
SESS-100083,USR-204072,Direct,None,Desktop,2026-03-29 05:17:42,,,
SESS-100084,USR-206338,Direct,None,Desktop,2026-06-04 12:09:44,,,
SESS-100085,USR-201928,Paid Social,Retargeting Ads,Desktop,2026-04-09 14:44:53,,,
SESS-100086,USR-200907,Paid Social,Retargeting Ads,Mobile,2026-03-17 20:11:51,,,
SESS-100087,USR-200009,Email,Newsletter Vol 12,Mobile,2026-05-14 07:01:11,,,
SESS-100088,USR-202369,Paid Search,Spring Promo,Desktop,2026-06-20 12:09:33,2026-06-20 12:27:33,2026-06-24 10:27:33,
SESS-100089,USR-207489,Direct,None,Tablet,2026-04-20 07:45:16,,,
SESS-100090,USR-205657,Referral,None,Tablet,30/01/2026 02:35:58,,,
SESS-100091,USR-205746,Direct,None,Mobile,2026-02-25 05:36:07,2026-02-25 06:05:07,,
SESS-100092,USR-207836,Referral,None,Tablet,23/04/2026 14:04:04,,,
SESS-100093,USR-202875,paid social,Winter Sale,tablet,2026-02-17 03:53:55,,,
SESS-100094,USR-201981,Email,,Mobile,2026-01-07 14:30:48,,,
SESS-100095,USR-203585,Direct,None,Mobile,2026-06-04 13:42:52,,,
SESS-100096,USR-204773,Paid Social,,TABLET,2026-03-10 22:26:32,,,
SESS-100097,USR-205293,Direct,None,Tablet,2026-05-19 19:58:37,,,
SESS-100098,USR-200931,Referral,None,Desktop,2026-04-29 11:00:17,,,
SESS-100099,USR-200545,Email,Newsletter Vol 12,Tablet,2026-01-09 06:55:11,2026-01-09 06:57:11,,
SESS-100100,USR-200746,DIRECT,None,TABLET,2026-06-06 07:52:51,,,
SESS-100101,USR-202253,Email,Newsletter Vol 12,Desktop,2026-01-24 12:55:23,,,
SESS-100102,USR-205203,email,Newsletter Vol 12,Desktop,2026-01-16 23:12:41,,,
SESS-100103,USR-204385,Paid Social,Spring Promo,Tablet,2026-05-03 00:54:19,,,
SESS-100104,USR-207896,Organic Search,None,Tablet,03/02/2026 22:21:20,,,
SESS-100105,USR-205712,Paid Social,,Tablet,19/01/2026 04:30:18,,,
SESS-100106,USR-202597,Email,Newsletter Vol 12,Desktop,2026-02-07 08:00:28,,,
SESS-100107,USR-205498,Paid Search,Brand Awareness,Mobile,2026-03-01 11:34:10,,,
SESS-100108,USR-206198,Paid Search,Brand Awareness,Mobile,2026-02-07 02:28:05,,,
SESS-100109,USR-207418,Direct,None,Tablet,2026-02-06 17:38:09,,,
SESS-100110,USR-200331,Organic Search,None,Tablet,2026-03-27 20:39:45,,,
SESS-100111,USR-206604,Direct,None,Desktop,2026-05-09 14:24:25,,,
